Attrition,Voyage_affaires,Department,Education,EnvironmentSatisfaction,Implication_dans_emploi,JobLevel,Satisfaction_travail,Évaluation_performance,Satisfaction_relationnelle,StockOptionLevel,WorkLifeBalance,EducationField,Genre ,JobRole,État_civil,Heures_supplémentaires
Yes,Travel_Rarely,Sales,2,2,3,2,4,3,1,0,1,Life Sciences,Female,Sales Executive,Single,Yes
No,Travel_Frequently,Research & Development,1,3,2,2,2,4,4,1,3,Life Sciences,Male,Research Scientist,Married,No
Yes,Travel_Rarely,Research & Development,2,4,2,1,3,3,2,0,3,Other,Male,Laboratory Technician,Single,Yes
No,Travel_Frequently,Research & Development,4,4,3,1,3,3,3,0,3,Life Sciences,Female,Research Scientist,Married,Yes
No,Travel_Rarely,Research & Development,1,1,3,1,2,3,4,1,3,Medical,Male,Laboratory Technician,Married,No
No,Travel_Frequently,Research & Development,2,4,3,1,4,3,3,0,2,Life Sciences,Male,Laboratory Technician,Single,No
No,Travel_Rarely,Research & Development,3,3,4,1,1,4,1,3,2,Medical,Female,Laboratory Technician,Married,Yes
No,Travel_Rarely,Research & Development,1,4,3,1,3,4,2,1,3,Life Sciences,Male,Laboratory Technician,Divorced,No
No,Travel_Frequently,Research & Development,3,4,2,3,3,4,2,0,3,Life Sciences,Male,Manufacturing Director,Single,No
No,Travel_Rarely,Research & Development,3,3,3,2,3,3,2,2,2,Medical,Male,Healthcare Representative,Married,No
No,Travel_Rarely,Research & Development,3,1,4,1,2,3,3,1,3,Medical,Male,Laboratory Technician,Married,No
No,Travel_Rarely,Research & Development,2,4,2,2,3,3,4,0,3,Life Sciences,Female,Laboratory Technician,Single,Yes
No,Travel_Rarely,Research & Development,1,1,3,1,3,3,4,1,2,Life Sciences,Male,Research Scientist,Divorced,No
No,Travel_Rarely,Research & Development,2,2,3,1,4,3,3,1,3,Medical,Male,Laboratory Technician,Divorced,No
Yes,Travel_Rarely,Research & Development,3,3,2,1,3,3,2,0,3,Life Sciences,Male,Laboratory Technician,Single,Yes
No,Travel_Rarely,Research & Development,4,2,4,3,1,3,3,1,3,Life Sciences,Female,Manufacturing Director,Divorced,No
No,Travel_Rarely,Research & Development,2,1,4,1,2,3,4,2,2,Life Sciences,Male,Research Scientist,Divorced,Yes
No,Non-Travel,Research & Development,2,4,4,1,4,3,2,2,2,Medical,Male,Laboratory Technician,Divorced,Yes
No,Travel_Rarely,Sales,4,1,2,4,4,3,3,0,3,Life Sciences,Female,Manager,Married,No
No,Travel_Rarely,Research & Development,3,4,3,1,4,3,3,0,3,Life Sciences,Male,Research Scientist,Single,Yes
No,Non-Travel,Research & Development,2,1,4,2,3,3,4,1,2,Other,Female,Manufacturing Director,Divorced,No
Yes,Travel_Rarely,Sales,4,3,2,1,1,4,2,0,3,Life Sciences,Male,Sales Representative,Single,No
No,Travel_Rarely,Research & Development,4,1,3,3,2,3,3,0,3,Life Sciences,Female,Research Director,Single,No
No,Travel_Rarely,Research & Development,2,3,3,1,4,3,4,0,3,Life Sciences,Male,Research Scientist,Single,No
Yes,Travel_Rarely,Research & Development,1,2,3,1,1,3,3,0,3,Medical,Male,Research Scientist,Single,No
No,Travel_Rarely,Research & Development,3,3,3,5,3,3,4,1,2,Other,Female,Manager,Divorced,No
Yes,Travel_Frequently,Research & Development,1,2,1,1,1,4,2,0,3,Life Sciences,Female,Research Scientist,Single,Yes
No,Travel_Rarely,Sales,4,3,3,2,2,3,4,1,3,Marketing,Male,Sales Executive,Married,No
No,Travel_Rarely,Research & Development,4,1,2,3,4,3,4,1,3,Medical,Female,Healthcare Representative,Married,No
No,Travel_Rarely,Sales,4,2,3,5,1,3,4,0,2,Marketing,Female,Manager,Single,No
No,Travel_Rarely,Research & Development,3,3,3,1,4,3,4,0,3,Medical,Male,Laboratory Technician,Single,No
No,Travel_Rarely,Research & Development,4,4,3,2,4,3,4,0,4,Other,Male,Healthcare Representative,Married,Yes
No,Travel_Rarely,Research & Development,2,4,2,1,3,3,1,0,3,Medical,Male,Laboratory Technician,Single,No
Yes,Travel_Rarely,Sales,3,4,3,2,4,3,3,1,4,Technical Degree,Male,Sales Representative,Married,No
Yes,Travel_Rarely,Research & Development,3,2,3,1,4,3,1,1,2,Medical,Male,Research Scientist,Married,Yes
No,Travel_Rarely,Research & Development,2,4,4,1,3,3,4,2,2,Medical,Female,Research Scientist,Divorced,No
Yes,Travel_Rarely,Sales,2,1,2,1,3,3,3,0,3,Marketing,Male,Sales Representative,Married,Yes
No,Travel_Rarely,Sales,3,4,3,1,4,3,1,0,3,Marketing,Female,Sales Representative,Married,No
No,Travel_Rarely,Research & Development,4,2,2,1,1,3,4,1,4,Life Sciences,Female,Research Scientist,Married,Yes
No,Travel_Frequently,Sales,3,3,4,2,1,3,1,2,3,Life Sciences,Female,Sales Executive,Married,No
No,Travel_Rarely,Research & Development,2,3,3,1,4,3,3,1,3,Other,Male,Laboratory Technician,Divorced,No
No,Travel_Rarely,Research & Development,4,4,3,1,1,3,4,1,3,Life Sciences,Female,Laboratory Technician,Divorced,No
Yes,Travel_Rarely,Research & Development,3,1,1,1,3,3,3,0,2,Life Sciences,Male,Laboratory Technician,Single,No
No,Travel_Frequently,Sales,3,4,3,3,3,3,4,0,3,Life Sciences,Male,Sales Executive,Single,No
No,Travel_Frequently,Research & Development,2,3,3,2,4,4,4,0,3,Medical,Female,Laboratory Technician,Single,No
Yes,Travel_Rarely,Research & Development,3,2,3,5,3,3,4,0,3,Technical Degree,Female,Research Director,Married,No
No,Non-Travel,Sales,4,2,3,2,3,4,3,0,3,Marketing,Male,Sales Executive,Single,No
No,Travel_Rarely,Research & Development,2,2,3,1,2,4,1,0,3,Life Sciences,Male,Research Scientist,Married,No
No,Travel_Frequently,Sales,4,1,3,2,4,4,3,0,3,Marketing,Male,Sales Executive,Single,Yes
No,Travel_Rarely,Research & Development,1,4,4,1,4,3,4,0,3,Life Sciences,Male,Laboratory Technician,Married,No
Yes,Travel_Rarely,Research & Development,2,1,2,3,3,3,4,0,3,Life Sciences,Male,Laboratory Technician,Single,Yes
Yes,Travel_Rarely,Research & Development,4,3,3,1,3,3,3,0,2,Technical Degree,Male,Laboratory Technician,Single,Yes
No,Travel_Rarely,Sales,5,2,3,2,1,4,3,1,2,Marketing,Female,Sales Executive,Divorced,Yes
No,Non-Travel,Research & Development,2,3,2,3,1,3,3,1,3,Medical,Male,Healthcare Representative,Married,Yes
